project__name,tw_size,tw_quantity,tw_with_pc_percentage,tw_improves_cr_quantity,tw_equal_cr_quantity,tw_improves_ipe_quantity,tw_equal_ipe_quantity,tw_worsen_ipe_quantity,cr_improvement_percentage_min,cr_improvement_percentage_mean,cr_improvement_percentage_std,cr_improvement_percentage_max,ipe_improvement_percentage_min,ipe_improvement_percentage_mean,ipe_improvement_percentage_std,ipe_improvement_percentage_max
mf-chsdi3,90,25,4.00,0,1,1,0,0,0.00,0.00,0.00,0.00,33.33,33.33,0.00,33.33
Umbraco-CMS,7,312,20.51,44,20,58,3,3,0.00,162.01,225.00,1100.00,-12.50,46.50,49.01,200.00
Umbraco-CMS,14,156,33.33,41,11,49,2,1,0.00,222.63,224.41,900.00,-5.56,64.98,70.60,300.00
Umbraco-CMS,28,78,43.59,30,4,34,0,0,0.00,374.51,291.93,900.00,3.70,69.24,78.06,366.67
Umbraco-CMS,60,37,48.65,17,1,18,0,0,0.00,698.61,393.72,1300.00,2.33,76.21,51.73,202.58
Umbraco-CMS,90,25,56.00,13,1,14,0,0,0.00,860.71,497.58,1800.00,13.01,64.45,49.51,159.65
marathon,7,300,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
marathon,14,150,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
marathon,28,75,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
marathon,60,35,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
marathon,90,24,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
eslint,7,308,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
eslint,14,154,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
eslint,28,77,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
eslint,60,36,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
eslint,90,24,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
gulp,7,283,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
gulp,14,142,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
gulp,28,71,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
gulp,60,33,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
gulp,90,22,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
server,7,306,16.01,23,26,46,3,0,0.00,112.24,154.96,600.00,0.00,224.26,404.62,2100.00
server,14,153,26.14,25,15,39,1,0,0.00,162.50,203.42,1000.00,0.00,175.05,313.08,1725.00
server,28,77,40.26,24,7,30,1,0,0.00,237.10,228.75,1000.00,0.00,254.48,596.19,3125.00
server,60,36,55.56,18,2,20,0,0,0.00,442.50,351.42,1600.00,6.10,146.86,156.26,637.65
server,90,24,62.50,13,2,15,0,0,0.00,590.00,399.20,1200.00,25.01,79.63,47.65,187.23
buscador,7,224,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
buscador,14,112,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
buscador,28,56,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
buscador,60,27,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
buscador,90,18,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
fxa-content-server,7,305,1.31,2,2,4,0,0,0.00,50.00,57.74,100.00,75.00,115.42,57.31,200.00
fxa-content-server,14,153,2.61,3,1,4,0,0,0.00,75.00,50.00,100.00,4.00,160.17,190.59,437.50
fxa-content-server,28,77,3.90,3,0,3,0,0,100.00,133.33,57.74,200.00,20.57,84.01,66.58,153.33
fxa-content-server,60,36,8.33,2,1,3,0,0,0.00,133.33,152.75,300.00,3.97,47.41,38.24,76.00
fxa-content-server,90,24,16.67,2,2,4,0,0,0.00,125.00,150.00,300.00,45.95,93.83,51.40,152.80
girder,7,304,3.62,4,7,6,5,0,0.00,63.64,102.69,300.00,0.00,24.83,26.44,65.52
girder,14,152,7.24,3,8,8,3,0,0.00,81.82,166.24,500.00,0.00,74.48,119.73,420.00
girder,28,76,13.16,5,5,9,1,0,0.00,140.00,201.11,600.00,0.00,85.93,88.13,300.00
girder,60,36,22.22,5,3,8,0,0,0.00,200.00,272.55,800.00,16.67,84.64,67.48,224.15
girder,90,24,29.17,5,2,7,0,0,0.00,242.86,276.03,800.00,12.50,333.84,449.37,1000.00
serviced,7,254,3.15,4,4,8,0,0,0.00,81.25,113.19,300.00,50.00,222.50,281.86,900.00
serviced,14,127,5.51,5,2,7,0,0,0.00,135.71,174.91,500.00,19.05,157.10,221.04,605.88
serviced,28,64,10.94,5,2,7,0,0,0.00,135.71,174.91,500.00,14.29,84.36,71.25,183.41
serviced,60,30,16.67,5,0,5,0,0,100.00,230.00,120.42,400.00,3.09,110.01,104.30,232.39
serviced,90,20,20.00,4,0,4,0,0,100.00,212.50,131.50,400.00,2.40,49.27,43.35,100.00
self,7,300,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
self,14,150,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
self,28,75,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
self,60,35,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
self,90,24,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
home-assistant,7,164,0.61,0,1,1,0,0,0.00,0.00,0.00,0.00,82.26,82.26,0.00,82.26
home-assistant,14,82,1.22,0,1,1,0,0,0.00,0.00,0.00,0.00,36.43,36.43,0.00,36.43
home-assistant,28,41,2.44,0,1,1,0,0,0.00,0.00,0.00,0.00,157.14,157.14,0.00,157.14
home-assistant,60,20,10.00,0,2,2,0,0,0.00,0.00,0.00,0.00,25.37,618.14,838.30,1210.91
home-assistant,90,13,15.38,0,2,2,0,0,0.00,0.00,0.00,0.00,35.52,82.69,66.70,129.85
influxdb,7,178,4.49,5,3,8,0,0,0.00,100.00,130.93,400.00,20.00,151.20,162.53,500.00
influxdb,14,89,8.99,5,3,8,0,0,0.00,175.00,237.55,600.00,7.14,117.97,94.28,270.59
influxdb,28,45,15.56,3,4,7,0,0,0.00,300.00,509.90,1300.00,2.33,102.23,133.57,387.30
influxdb,60,21,23.81,3,2,4,1,0,0.00,250.00,339.12,800.00,0.00,57.08,59.83,148.39
influxdb,90,14,35.71,3,2,5,0,0,0.00,350.00,600.00,1400.00,12.65,85.53,76.03,200.00
bluebottle,7,323,5.26,5,12,15,2,0,0.00,58.82,106.41,300.00,0.00,132.02,160.06,466.67
bluebottle,14,162,11.11,7,11,15,2,1,0.00,83.33,142.46,500.00,-2.04,118.02,210.55,800.00
bluebottle,28,81,24.69,8,12,19,0,1,0.00,90.00,158.61,500.00,-19.35,112.79,183.83,757.14
bluebottle,60,38,34.21,10,3,13,0,0,0.00,192.31,180.10,500.00,10.40,64.34,44.98,156.25
bluebottle,90,26,38.46,9,1,9,0,1,0.00,290.00,202.48,600.00,-32.43,100.76,89.00,250.94
wikipedia-ios,7,201,35.82,54,18,65,5,2,0.00,148.38,160.65,800.00,-6.25,155.10,349.08,2300.00
wikipedia-ios,14,101,48.51,42,7,42,3,4,0.00,253.06,229.75,900.00,-17.20,179.19,556.29,3800.00
wikipedia-ios,28,51,62.75,28,4,30,1,1,0.00,371.88,348.07,1300.00,-17.17,299.78,1333.95,7600.00
wikipedia-ios,60,24,75.00,18,0,18,0,0,100.00,627.78,446.01,1266.67,2.79,116.76,93.89,366.67
wikipedia-ios,90,16,75.00,12,0,12,0,0,100.00,912.50,539.32,1600.00,10.62,85.11,79.70,303.02
SemanticMediaWiki,7,291,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SemanticMediaWiki,14,146,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SemanticMediaWiki,28,73,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SemanticMediaWiki,60,34,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SemanticMediaWiki,90,23,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
consul,7,268,1.49,1,3,2,2,0,0.00,100.00,200.00,400.00,0.00,42.45,49.68,94.81
consul,14,134,2.99,1,3,3,1,0,0.00,200.00,400.00,800.00,0.00,124.81,107.49,250.00
consul,28,67,5.97,1,3,3,1,0,0.00,225.00,450.00,900.00,0.00,168.13,141.13,339.19
consul,60,32,12.50,1,3,4,0,0,0.00,200.00,400.00,800.00,2.99,90.23,82.09,171.43
consul,90,21,19.05,1,3,3,1,0,0.00,250.00,500.00,1000.00,0.00,381.96,535.16,1140.00
bok-choy,7,288,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bok-choy,14,144,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bok-choy,28,72,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bok-choy,60,34,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bok-choy,90,23,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
irods,7,281,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
irods,14,141,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
irods,28,71,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
irods,60,33,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
irods,90,22,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
deeplearning4j,7,269,4.09,6,5,10,0,1,0.00,72.73,78.62,200.00,-0.41,76.56,110.91,318.18
deeplearning4j,14,135,7.41,7,3,10,0,0,0.00,100.00,81.65,200.00,4.00,104.13,117.05,310.16
deeplearning4j,28,68,10.29,5,2,7,0,0,0.00,171.43,197.60,500.00,2.70,72.34,120.09,338.80
deeplearning4j,60,32,15.63,5,0,5,0,0,100.00,270.00,178.89,500.00,24.38,95.64,99.98,261.06
deeplearning4j,90,21,28.57,5,1,6,0,0,0.00,191.67,190.83,550.00,3.02,648.73,1435.21,3576.19
opentx,7,282,0.35,1,0,1,0,0,500.00,500.00,0.00,500.00,38.03,38.03,0.00,38.03
opentx,14,141,0.71,1,0,1,0,0,500.00,500.00,0.00,500.00,103.42,103.42,0.00,103.42
opentx,28,71,1.41,1,0,1,0,0,500.00,500.00,0.00,500.00,62.53,62.53,0.00,62.53
opentx,60,33,3.03,1,0,1,0,0,500.00,500.00,0.00,500.00,176.74,176.74,0.00,176.74
opentx,90,22,4.55,1,0,1,0,0,500.00,500.00,0.00,500.00,198.71,198.71,0.00,198.71
grafana,7,273,15.02,24,17,39,2,0,0.00,141.06,168.29,600.00,0.00,114.08,155.63,800.00
grafana,14,137,27.74,24,14,37,0,1,0.00,168.86,216.97,1000.00,-6.25,206.76,351.94,1900.00
grafana,28,69,39.13,19,8,26,0,1,0.00,240.12,256.88,850.00,-4.00,134.54,180.64,870.00
grafana,60,32,53.13,12,5,17,0,0,0.00,335.78,379.34,1175.00,3.97,120.73,166.58,681.58
grafana,90,22,54.55,12,0,12,0,0,100.00,506.25,416.17,1250.00,24.85,151.52,152.11,465.83
Jetpack,7,285,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jetpack,14,143,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jetpack,28,72,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jetpack,60,34,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jetpack,90,23,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plugins,7,278,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plugins,14,139,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plugins,28,70,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plugins,60,33,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
plugins,90,22,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Submitty,7,158,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Submitty,14,79,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Submitty,28,40,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Submitty,60,19,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Submitty,90,13,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
mapbox-gl-native,7,274,0.73,0,2,2,0,0,0.00,0.00,0.00,0.00,15.00,145.00,183.85,275.00
mapbox-gl-native,14,137,1.46,0,2,2,0,0,0.00,0.00,0.00,0.00,33.33,59.17,36.54,85.00
mapbox-gl-native,28,69,2.90,0,2,2,0,0,0.00,0.00,0.00,0.00,10.89,18.13,10.24,25.37
mapbox-gl-native,60,32,6.25,0,2,2,0,0,0.00,0.00,0.00,0.00,29.46,140.73,157.36,252.00
mapbox-gl-native,90,22,9.09,0,2,2,0,0,0.00,0.00,0.00,0.00,139.53,304.43,233.20,469.33
the-events-calendar,7,211,31.28,40,26,57,4,5,0.00,81.06,95.76,500.00,-32.69,90.22,145.84,800.00
the-events-calendar,14,106,49.06,37,15,50,1,1,0.00,118.43,126.13,500.00,-3.57,87.03,146.06,950.00
the-events-calendar,28,53,64.15,29,5,33,1,0,0.00,189.46,163.14,600.00,0.00,81.10,73.09,244.71
the-events-calendar,60,25,68.00,16,1,17,0,0,0.00,374.02,289.57,1200.00,10.57,121.51,81.81,302.11
the-events-calendar,90,17,76.47,12,1,13,0,0,0.00,431.67,278.94,1000.00,10.57,98.12,85.91,336.84
SmokeDetector,7,278,22.66,33,30,62,1,0,0.00,58.60,85.01,400.00,0.00,114.46,152.07,780.00
SmokeDetector,14,139,30.22,28,14,40,1,1,0.00,105.65,111.75,375.00,-19.15,114.32,204.08,1300.00
SmokeDetector,28,70,34.29,20,4,24,0,0,0.00,210.94,201.31,833.33,6.15,143.20,171.40,800.00
SmokeDetector,60,33,39.39,12,1,13,0,0,0.00,389.10,277.98,975.00,7.86,118.51,186.57,700.00
SmokeDetector,90,22,45.45,8,2,10,0,0,0.00,489.75,351.52,1060.00,14.35,293.90,631.38,2075.00
addons-server,7,172,11.05,10,9,19,0,0,0.00,81.58,121.58,500.00,12.26,221.16,254.57,825.00
addons-server,14,86,19.77,10,7,17,0,0,0.00,102.94,168.14,700.00,8.64,267.52,426.95,1800.00
addons-server,28,43,34.88,9,6,15,0,0,0.00,130.00,184.97,700.00,3.30,198.31,299.01,1033.33
addons-server,60,21,52.38,8,3,11,0,0,0.00,213.64,272.11,900.00,1.90,298.81,372.48,1180.77
addons-server,90,14,57.14,7,1,8,0,0,0.00,337.50,277.42,900.00,31.20,105.82,85.23,243.82
hdx-ckan,7,268,2.61,3,4,7,0,0,0.00,42.86,53.45,100.00,42.86,469.39,784.77,2200.00
hdx-ckan,14,134,5.22,3,4,7,0,0,0.00,42.86,53.45,100.00,25.00,478.35,1068.79,2900.00
hdx-ckan,28,67,10.45,3,4,7,0,0,0.00,42.86,53.45,100.00,5.66,100.78,100.19,233.33
hdx-ckan,60,32,25.00,3,5,8,0,0,0.00,37.50,51.75,100.00,33.33,469.53,992.79,2900.00
hdx-ckan,90,21,38.10,3,5,8,0,0,0.00,37.50,51.75,100.00,24.05,1457.23,3530.93,10166.67
igniteui-angular,7,250,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
igniteui-angular,14,125,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
igniteui-angular,28,63,1.59,0,1,1,0,0,0.00,0.00,0.00,0.00,473.33,473.33,0.00,473.33
igniteui-angular,60,30,3.33,0,1,1,0,0,0.00,0.00,0.00,0.00,993.33,993.33,0.00,993.33
igniteui-angular,90,20,5.00,0,1,1,0,0,0.00,0.00,0.00,0.00,2013.33,2013.33,0.00,2013.33
spacewalk,7,266,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
spacewalk,14,133,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
spacewalk,28,67,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
spacewalk,60,31,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
spacewalk,90,21,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
h2o-3,7,210,2.86,1,5,6,0,0,0.00,16.67,40.82,100.00,40.00,243.53,157.20,433.33
h2o-3,14,105,4.76,2,3,5,0,0,0.00,40.00,54.77,100.00,47.17,390.83,461.38,940.00
h2o-3,28,53,9.43,3,2,5,0,0,0.00,60.00,54.77,100.00,18.25,475.97,844.94,1980.00
h2o-3,60,25,28.00,4,3,6,1,0,0.00,71.43,75.59,200.00,0.00,129.63,205.32,556.03
h2o-3,90,17,35.29,3,3,4,1,1,0.00,100.00,126.49,300.00,-11.61,21.87,41.40,101.79
azure-activedirectory-identitymodel-extensions-for-dotnet,7,239,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
azure-activedirectory-identitymodel-extensions-for-dotnet,14,120,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
azure-activedirectory-identitymodel-extensions-for-dotnet,28,60,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
azure-activedirectory-identitymodel-extensions-for-dotnet,60,28,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
azure-activedirectory-identitymodel-extensions-for-dotnet,90,19,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
terraform,7,252,3.97,2,8,9,1,0,0.00,70.00,163.64,500.00,0.00,106.57,99.51,282.35
terraform,14,126,7.14,2,7,8,1,0,0.00,55.56,113.04,300.00,0.00,35.94,26.25,68.57
terraform,28,63,11.11,4,3,6,1,0,0.00,100.00,115.47,300.00,0.00,32.13,27.78,78.17
terraform,60,30,20.00,4,2,6,0,0,0.00,200.00,209.76,500.00,14.73,135.62,103.97,265.54
terraform,90,20,35.00,5,2,7,0,0,0.00,185.71,167.62,400.00,7.20,96.41,77.17,199.05
LenaSYS,7,219,11.42,24,1,25,0,0,0.00,658.33,533.76,2300.00,1.38,60.73,42.96,212.23
LenaSYS,14,110,12.73,13,1,14,0,0,0.00,1027.98,723.46,2900.00,1.38,62.17,40.61,127.10
LenaSYS,28,55,16.36,9,0,9,0,0,100.00,1476.85,893.28,3025.00,1.38,52.32,26.10,88.41
LenaSYS,60,26,23.08,6,0,6,0,0,300.00,2247.22,1317.08,4233.33,29.04,59.97,27.98,98.49
LenaSYS,90,17,17.65,3,0,3,0,0,3150.00,3908.33,1064.29,5125.00,49.75,69.45,28.47,102.09
gitbook,7,270,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
gitbook,14,135,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
gitbook,28,68,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
gitbook,60,32,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
gitbook,90,21,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cloudify-manager,7,267,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cloudify-manager,14,134,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cloudify-manager,28,67,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cloudify-manager,60,32,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cloudify-manager,90,21,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cfgov-refresh,7,266,15.04,26,14,34,5,1,0.00,88.75,100.31,500.00,-16.21,71.37,100.82,452.63
cfgov-refresh,14,133,27.07,25,11,33,2,1,0.00,118.06,114.74,500.00,-32.40,99.14,126.52,561.29
cfgov-refresh,28,67,37.31,21,4,24,0,1,0.00,208.00,181.25,700.00,-4.71,98.90,93.83,327.68
cfgov-refresh,60,31,48.39,12,3,15,0,0,0.00,344.44,299.38,1100.00,37.50,107.77,78.51,305.26
cfgov-refresh,90,21,47.62,8,2,10,0,0,0.00,488.33,437.45,1550.00,37.97,133.66,192.60,673.68
django-rest-auth,7,235,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
django-rest-auth,14,118,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
django-rest-auth,28,59,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
django-rest-auth,60,28,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
django-rest-auth,90,19,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NuGet.Client,7,190,0.53,0,1,1,0,0,0.00,0.00,0.00,0.00,28.57,28.57,0.00,28.57
NuGet.Client,14,95,1.05,0,1,1,0,0,0.00,0.00,0.00,0.00,16.67,16.67,0.00,16.67
NuGet.Client,28,48,2.08,0,1,1,0,0,0.00,0.00,0.00,0.00,133.33,133.33,0.00,133.33
NuGet.Client,60,23,4.35,0,1,1,0,0,0.00,0.00,0.00,0.00,200.00,200.00,0.00,200.00
NuGet.Client,90,15,6.67,0,1,1,0,0,0.00,0.00,0.00,0.00,283.33,283.33,0.00,283.33
holoviews,7,240,0.42,0,1,1,0,0,0.00,0.00,0.00,0.00,33.33,33.33,0.00,33.33
holoviews,14,120,0.83,0,1,1,0,0,0.00,0.00,0.00,0.00,10.00,10.00,0.00,10.00
holoviews,28,60,1.67,0,1,1,0,0,0.00,0.00,0.00,0.00,4.17,4.17,0.00,4.17
holoviews,60,28,3.57,0,1,1,0,0,0.00,0.00,0.00,0.00,97.22,97.22,0.00,97.22
holoviews,90,19,5.26,0,1,1,0,0,0.00,0.00,0.00,0.00,77.78,77.78,0.00,77.78
cloudbreak,7,99,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cloudbreak,14,50,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cloudbreak,28,25,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cloudbreak,60,12,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
cloudbreak,90,8,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
tendermint,7,220,3.18,2,5,6,1,0,0.00,57.14,113.39,300.00,0.00,206.03,332.39,933.33
tendermint,14,110,6.36,2,5,6,1,0,0.00,71.43,149.60,400.00,0.00,160.47,191.29,566.67
tendermint,28,55,12.73,2,5,6,1,0,0.00,85.71,186.45,500.00,0.00,280.08,365.50,1033.33
tendermint,60,26,23.08,2,4,6,0,0,0.00,44.45,72.01,166.67,10.77,202.79,333.30,873.33
tendermint,90,18,27.78,3,2,5,0,0,0.00,80.00,83.67,200.00,27.89,123.02,171.99,429.41
samson,7,262,0.38,0,1,1,0,0,0.00,0.00,0.00,0.00,5.26,5.26,0.00,5.26
samson,14,131,0.76,0,1,1,0,0,0.00,0.00,0.00,0.00,2.38,2.38,0.00,2.38
samson,28,66,1.52,0,1,1,0,0,0.00,0.00,0.00,0.00,1.15,1.15,0.00,1.15
samson,60,31,3.23,0,1,1,0,0,0.00,0.00,0.00,0.00,8.77,8.77,0.00,8.77
samson,90,21,4.76,0,1,1,0,0,0.00,0.00,0.00,0.00,6.47,6.47,0.00,6.47
ngeo,7,262,0.38,1,0,1,0,0,100.00,100.00,0.00,100.00,76.47,76.47,0.00,76.47
ngeo,14,131,0.76,1,0,1,0,0,100.00,100.00,0.00,100.00,452.94,452.94,0.00,452.94
ngeo,28,66,1.52,1,0,1,0,0,100.00,100.00,0.00,100.00,841.18,841.18,0.00,841.18
ngeo,60,31,3.23,1,0,1,0,0,100.00,100.00,0.00,100.00,15.61,15.61,0.00,15.61
ngeo,90,21,4.76,1,0,1,0,0,100.00,100.00,0.00,100.00,112.72,112.72,0.00,112.72
GitWrite,7,188,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GitWrite,14,94,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GitWrite,28,47,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GitWrite,60,22,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GitWrite,90,15,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
dmt,7,261,6.51,5,12,12,3,2,0.00,47.06,87.45,300.00,-30.77,137.95,266.09,1000.00
dmt,14,131,12.21,6,10,14,2,0,0.00,62.50,108.78,400.00,0.00,66.05,58.92,172.22
dmt,28,66,22.73,7,8,14,1,0,0.00,73.33,109.98,400.00,0.00,91.80,103.27,300.00
dmt,60,31,38.71,8,4,12,0,0,0.00,112.50,128.14,450.00,16.55,117.59,110.89,437.50
dmt,90,21,47.62,6,4,10,0,0,0.00,150.00,171.59,500.00,16.67,174.74,201.87,687.50
stock-logistics-warehouse,7,247,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
stock-logistics-warehouse,14,124,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
stock-logistics-warehouse,28,62,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
stock-logistics-warehouse,60,29,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
stock-logistics-warehouse,90,20,0.00,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TypeScript,7,254,29.53,60,15,73,1,1,0.00,170.44,169.01,800.00,-7.85,89.32,108.86,650.00
TypeScript,14,127,40.94,49,3,52,0,0,0.00,271.47,215.43,1200.00,4.89,86.39,99.54,512.91
